School,District,Division1,Pupils,
Ntayigirwa Primary School,Luuka,2,136,
Kamwiringu Primary School,Luuka,2,128,
Busalamu P/Sch,Luuka,2,115,
Bukanga Primary School,Luuka,2,114,
Sempa primary School,Luweero,1,36,
Katuumu Asuubira P7 School,Luweero,2,70,
Kalule R/C Primary School,Luweero,10,30,
Wobulenzi Primary School,Luweero,1,30,
Mulajje Mixed Primary School,Luweero,1,35,
Kabukunga R/C Primary School,Luweero,1,35,
Kkoko C/U Primary School,Luweero,1,30,
Butuntumula Umea Pri School,Luweero,2,56,
St.Joseph Ndibulungi P/S,Luweero,1,32,
Kika Preparatory Pri. School,Luweero,1,27,
Kawe C/U P/S,Luweero,3,75,
Okwang P7 School,Luweero,2,49,
Kitanda Mixed Primary School,Luweero,1,31,
Katikamu Kisule Primary School,Luweero,2,49,
Nkokonjeru Islamic Ps,Luweero,5,151,
Barjobi P7 School,Luweero,2,60,
Sekamuli Primary School,Luweero,5,120,
Kayindu Primary School,Luweero,1,129,
Mulanga Primary School,Luweero,1,111,
St.Mary's  Primary School,Luweero,1,105,
Faith Christian Primary School,Luweero,4,34,
Kalule Umea Primary School,Luweero,1,97,
Wobulenzi R/C Primary School,Luweero,3,25,
Katikamu Luyima Primary School,Luweero,2,43,
Katikamu Luyima Ps,Luweero,2,43,
Luwuuba  Sda Primary School,Luweero,2,43,
Namaliga Primary School,Luweero,2,34,
Sakabusolo Ps,Luweero,2,34,
Lunyolya C/U Primary School,Luweero,3,51,
Walukuba west Estate School,Luweero,5,84,
Malaika Primary School,Luweero,2,15,
Bombo common School,Luweero,5,82,
Amele Primary School,Luweero,4,65,
Siira Memorial Primary School,Luweero,5,37,
Kiryambidde Primary School,Luweero,4,80,
Bugema Primary School,Luweero,2,40,
Bombo Mixed Primary School,Luweero,9,176,
Muwangi R/U Primary School,Luweero,2,38,
All Saints P/S Buzirandulu,Luweero,5,55,
Kyetume Sda Primary School,Luweero,3,33,
St Kizito Kikysa P/S,Luweero,2,38,
Kkalwa Primary School,Luweero,2,30,
Kyampisi Primary School,Luweero,1,15,
Nkonjeru Primary School,Luweero,8,86,
Namuli C/U Primary School,Luweero,2,37,
Buyuka Wabiwalwa Primary,Luweero,3,43,
Kikube C/U Primary School,Luweero,3,43,
Kalannamu Primary School,Luweero,8,144,
Nyimbwa Primary School,Luweero,4,56,
Bombo Umea Primary School,Luweero,7,48,
Kajuule Memorial Pri School,Luweero,2,20,
Nattyole Primary School,Luweero,5,33,
Lukole Umea Primary School,Luweero,10,125,
Kiziba Primary School,Luweero,7,87,
Anonya Orthodox School,Luweero,13,153,
Kamira C/U Primary School,Luweero,1,43,
St.Jude Katagwe Primary School,Luweero,1,43,
Katovu Primary School,Luweero,1,43,
Mpigi Primary School,Luweero,2,85,
Namumira C/U Primary School,Luweero,1,44,
Bombo Barracks School,Luweero,17,198,
Vvumba C/U Primary School,Luweero,2,23,
Kasiiko Primary School,Luweero,1,56,
Kalagala Islamic P/S,Luweero,1,55,
Wobulenzi Parents School,Luweero,78,143,
New Eden Day and Boarding P/S,Luweero,16,34,
Our Lady Parents P/S,Luweero,21,40,
Gembe C/U Primary School,Luweero,1,54,
Wobulenzi Primary School,Luweero,41,232,
Kalagala Primary School,Luweero,3,16,
St.John Chrysostom P/S,Luweero,5,28,
Malongo Primary School,Luwero,2,65,
Joy Nursery &PrimarySchool,Luwero,2,31,
Malongo Baptist School,Luwero,2,35,
Luwero Comity P/S,Luwero,3,40,
Little Angels Infant D &B P/S,Luwero,12,22,
Bombo Trinity Primary School,Luwero,17,35,
Christian Assemly P/S,Luwero,11,37,
Luti Baptist Primary schol,Lwengo,2,71,
Misenyi Primary School,Lwengo,1,26,
Mbiriizi Catholic Pri.School,Lwengo,3,72,
Kyassonko Primary School,Lwengo,1,23,
Namisunga Primary School,Lwengo,2,45,
Kabwami C/U Primary School,Lwengo,2,15,
Birunuma Primary School,Lwengo,13,95,
Kyanukuzi P.7 School,Lwengo,8,165,
Kabayo Primary School,Lwengo,4,43,
St.Clare Nkoni Primary School,Lwengo,2,37,
Bijaaba S.D.A Primary School,Lwengo,1,18,
Nkokonjeru Penticostal P/S,Lwengo,4,42,
Nkokonjeru Penticostal P/S,Lwengo,4,42,
Kyamaganda Primary School,Lwengo,2,27,
St.Joseph Kinoni Pri.School,Lwengo,26,77,
Rweibareli Primary School,Lwengo,10,27,
Kasese Primary School,Lwengo,1,80,
Kyoko Primary School,Lwengo,1,41,
Nakawanga Primary School,Lwengo,4,161,
Bishop Ssenyongo Pri.School,Lwengo,1,70,
Sseke P.7 School,Lwengo,1,40,
Namugongo Primary School,Lwengo,1,60,
Kisoso Primary School,Lwengo,1,37,
Sydney Paul Primary School,Lwengo,32,35,
Kisaana-Bataka Primary School,Lwengo,3,109,
mpumudde Primary School,Lyantonde,1,35,
Lyakajjula Primary School,Lyantonde,1,27,
Buyaga Primary School,Lyantonde,1,25,
Kyabbuza Primary School,Lyantonde,2,53,
Kyabbuza Primary School,Lyantonde,2,53,
Kyemamba Primary School,Lyantonde,1,23,
Kyewanula Primary School,Lyantonde,10,79,
Nakasozi Primary School,Lyantonde,1,21,
Nakasozi Primary School,Lyantonde,1,21,
Kitazigolokwa Primary School,Lyantonde,9,99,
Nsiika Primary School,Lyantonde,10,92,
Lyantonde Primary School,Lyantonde,17,97,
Kasambya Primary School,Lyantonde,14,51,
Kalagala Primary School,Lyantonde,1,47,
Ronald Ruta Primary School,Lyantonde,25,57,
Watakhuna Primary School,Manafwa,1,34,
Tooma Primary school,Manafwa,1,34,
Buteteya Primary School,Manafwa,2,64,
Bukhabusi Primary School,Manafwa,2,51,
St.Edward's Junior,Manafwa,1,27,
Bughonzo Primary School,Manafwa,1,22,
Butooto Primary School,Manafwa,2,32,
Namirama Primary School,Manafwa,2,30,
Sibanga C/U Primary School,Manafwa,1,19,
Magale Girls Boarding Primary School,Manafwa,2,35,
Bubutu Primary School,Manafwa,4,56,
Buwanda Primary School,Manafwa,4,56,
Buwesswa Primary School,Manafwa,6,80,
Shikhuyu Primary School,Manafwa,9,53,
Butiru Christian Pri,School,Manafwa,8,34.3358
Kimaluli Primary School,Manafwa,1,51,
Magale Parents Primary School,Manafwa,28,56,
Bukikayi Primary School,Manafwa,1,44,
Bunmbobi Primary School,Manafwa,1,76,
Bupoto Primary School,Manafwa,1,40,
Magale Mixed Primary School,Manafwa,1,63,
T&M Bright Primary School,Manafwa,29,39,
 Namukhonge Primary School,Manafwa,1,61,
Buwanbingwa Primary School,Manafwa,2,120,
Butiru Demonstration Primary School,Manafwa,2,76,
Etoko P7 School,Maracha,1,35,
Kijomoro P.7 School,Maracha,1,30,
Otravu Py School,Maracha,2,63,
Lamila Ciru Maracha County,Maracha,2,61,
Alivu P7 School,Maracha,3,48,
Nigo P.7 School,Maracha,2,40,
Maracha P.7 School,Maracha,5,94,
Oluvu P.7 School,Maracha,5,92,
Okabi P.7 School,Maracha,1,18,
Atratraka Primary School,Maracha,11,109,
Oribani Primary School,Maracha,1,53,
Offude Primary School,Maracha,1,52,
Nyoro P.7 School,Maracha,2,92,
Paranga Primary School,Maracha,1,73,
Bura Primary School,Maracha,3,115,
Simbili Primary School,Maracha,1,58,
Buna P/S,Masaka,2,59,
Kitunga C/U Primary School,Masaka,1,27,
Buyaga P.7 School,Masaka,2,51,
St.Jude Kamego Primary School,Masaka,1,24,
Butale Mixed P.7 School,Masaka,13,112,
Kyesliga P7 School,Masaka,1,115,
Bukakkata Ps,Masaka,1,108,
Kitanga P7 School,Masaka,1,15,
Kyanamukaaka P/S,Masaka,3,44,
Kijjabwemi P.7 School,Masaka,11,78,
Bethel Learning Centre P/S,Masaka,2,20,
Bugere Primary School,Masaka,5,46,
Victorius Primary School,Kyabazuka,Masaka,11,31.8219
Step Up Primary School,Masaka,18,52,
Bbuuliro P/s,Masaka,20,57,
Kiwanyi Primary School,Masaka,10,53,
Nyendo Progressive Primary School,Masaka,11,57,
Ssunga P/S,Masaka,1,46,
Hope Primary School,Masaka,22,50,
Mpugwe P/S,Masaka,3,133,
Nyendo Modern Primary School,Masaka,10,20,
Kikungwe C/U Primary School,Masaka,4,17,
St.Theresa Kirimya Parents,Masaka,12,22,
Good Foundation Primary School,Masaka,56,101,
Kiziba Primary School,Masaka,2,85,
Masaka Primary School,Masaka,8,30,
Luzinga Primary School,Masaka,1,42,
St.Agapto Day and Boarding Primary School,Masaka,11,18,
St.Mary's Kiryowa Pri.School,Masaka,1,75,
Kkindu P.7 School,Masaka,1,72,
Ndegeya C/U P/S,Masaka,1,40,
kisenyi Primary School,Masaka,1,40,
Lukodde St. Francis Primary School,Masaka,1,39,
Bujju Primary School,Masaka,1,58,
St.John Paua Mugwanya Complex,Masaka,50,59,
Masaka Parents Primary School,Masaka,24,28,
Leo's Junior Primary School,Masaka,161,173,
Happy Years Primary School,Masaka,16,17,
K.Y Day And Boarding PS,Masaka,107,107,
Victoria Learning Primary School,Masaka,73,73,
St. Edwards Primary School,Masindi,1,30,
Nyantozi Primary School,Masindi,1,33,
Kyatiri Primary School,Masindi,2,55,
Masindi Islaimic Primary school,Masindi,2,66,
Kijunjubwa Primary School,Masindi,1,28,
Nyabyega P.7 School,Masindi,2,51,
Walyaba C/CPS,Masindi,5,42,
Kihuuba Primary School,Masindi,4,33,
St.Marys Kibwona Primary School,Masindi,3,51,
Light School, Masindi,Masindi,5,31.7288
Bulima Primary School ,Masindi,6,44,
Kichandi Primary School,Masindi,1,20,
Blessed Primary School,Masindi,6,43,
Bokwe PS,Masindi,2,38,
Nyamigisa Girls Dem School,Masindi,2,38,
Kabalega P.7 School,Masindi,7,129,
Bulyango Primary School,Masindi,2,21,
Kiina P7 School,Masindi,2,28,
Masindi Junior School,Masindi,2,28,
Isagara Primary School,Masindi,5,35,
Kyema Primary School,Masindi,4,55,
Kayera Primary School,Masindi,4,39,
Karulubu Primary School,Masindi,14,87,
Bulyango Public School,Masindi,3,35,
Kitara Parents School,Masindi,13,79,
Kimengo Primary School,Masindi,2,23,
Kikingura Primary School,Masindi,6,69,
Nyamigisa Boys Primary School,Masindi,5,29,
Masindi Army Day School,Masindi,30,110,
Masindi Public School,Masindi,33,120,
Ntooma Primary School,Masindi,1,52,
Uthuman Mixed Primary School,Masindi,10,31,
Fred Grace Primary School,Masindi,9,26,
Kabango Primary School,Masindi,12,62,
Kinumi Primary School,Masindi,8,41,
St Pauls Pakanyi P.7 School,Masindi,1,47,
Kirasa Parents Primary School,Masindi,24,59,
Masindi Town Model P/S,Masindi,17,40,
kinuuma Primary School,Masindi,1,43,
Asaba Primary School,Masindi,37,67,
Masindi Tropical P/S,Masindi,17,25,
Walyoba Brilliant P/S,Masindi,17,24,
Kitonozi Primary School,Masindi,1,58,
Kinyara N S W Primary School,Masindi,112,137,
Wamulongo Ps,Mayege,2,55,
Buyere P S,Mayege,3,73,
Mpungwe P/S,Mayege,1,109,
Bukaleba Ps,Mayege,1,93,
Lutale 'A' Parents P/S,Mayege,6,113,
David & Mary Young P/S,Mayege,1,18,
Balita Primary School,Mayege,10,115,
Butumbula Primary School,Mayege,1,55,
Nalwesambula Islamic Primary School,Mayuge,2,68,
St.Peters's Wandogo P/S,Mayuge,2,67,
Mitimito Primary School,Mayuge,6,199,
Bukabooli Primary School,Mayuge,4,118,
St.Joseph Bukoba P/S,Mayuge,1,27,
Bukawongo  Primary School,Mayuge,2,50,
St.Babra Namadhi P/S,Mayuge,4,124,
Baitambogwe  Primary School,Mayuge,3,74,
Kyebando Primary School,Mayuge,5,150,
Mbaale Primary School,Mayuge,1,134,
Lugolole Primary School,Mayuge,1,132,
Nango Primary School,Mayuge,2,253,
Hands Of Love Primary School,Mayuge,3,26,
Hands Of Love Primary School,Mayuge,3,26,
Katuba Muslim Primary School,Mayuge,1,23,
Ikulwe Primary School,Mayuge,1,94,
Bugoto Primary School,Mayuge,1,91,
Kaluuba Primay School,Mayuge,2,170,
Jagisi Island Primary School,Mayuge,4,84,
Hilton Junior School,Mayuge,Mayuge,6,33.4956
Mabirizi Primary School,Mayuge,7,133,
Musita Primary School,Mayuge,19,200,
Ntinkalu Primary School,Mayuge,4,47,
Katonte Methodist P/S,Mayuge,3,114,
Musoli Primary School ,Mayuge,1,56,
Minomi Primary School,Mayuge,2,111,
Muyege Primary School,Mayuge,19,108,
Mutagisa Primary School,Mayuge,3,149,
Buima Royal School,Mayuge,5,24,
Namisu Primary School,Mayuge,2,90,
Busaala Primary School,Mayuge,3,135,
Kitovu Primary School,Mayuge,1,45,
Buluba Primary School,Mayuge,40,187,
Malongo Primary School,Mayuge,4,117,
Sky Standard Primary School,Mayuge,10,44,
St.Joseph P/S Kabuki,Mayuge,9,37,
Busuyi Primary School,Mayuge,1,43,
Buyugu Primary School,Mayuge,2,158,
Bukalenzi Primary School,Mayuge,1,77,
Bugulu Primary School,Mayuge,1,41,
Bugulu Primary School,Mayuge,1,41,
Butangala Primary School,Mayuge,2,135,
Mayuge Town Council Primary School,Mayuge,1,61,
Buluuta Primary School,Mayuge,1,59,
Buwolya Muslim Primary School,Mayuge,1,58,
Katonte Methodist P/S,Mayuge,3,114,
Bugadde Primary School,Mayuge,3,113,
Wante Primary school,Mayuge,1,36,
Rongoro Primary School,Mbale,2,70,
Jalilu Islamic Primary School,Mbale,3,100,
Namanyonyi Primary School,Mbale,2,56,
Busoba Primary School,Mbale,1,27,
Bugema Quran Primary School,Mbale,5,122,
Namakwekwe Primary School,Mbale,15,127,
Namakwekwe Primary School,Mbale,15,127,
Namakwekwe Primary School,Mbale,15,127,
Busajjabwankuba Primary School,Mbale,1,97,
Busajjabwankuba Primary School,Mbale,1,97,
Kolonyi Primary School,Mbale,3,67,
Wokukiri Primary School,Mbale,1,80,
Gangama Primary School,Mbale,4,46,
Zesui Primary School,Mbale,6,92,
Joyce Primary School,Mbale,7,50,
Makulu Primary School,Mbale,4,60,
Bubirabi Primary School,Mbale,3,55,
Namatala Primary School,Mbale,12,161,
Nasi Primary School,Mbale,6,78,
Bamugeni Primary School,Mbale,17,158,
Nakaloke Islamic P/S,Mbale,7,43,
Nakaloke Islamic P/S,Mbale,7,43,
Manyenya Primary School,Mbale,8,91,
Hadassah Primary School Mbale,Mbale,7,24,
Makhoneje Primary School,Mbale,1,51,
St.Thomas Junior School,Mbale,9,30,
Lwangoli Primary School ,Mbale,1,51,
Musese Primary School,Mbale,1,49,
Nyondo Demonstration P/S,Mbale,3,147,
Lulwanda Children's Homes School,Mbale,7,20,
Nambozo Primary School,Mbale,1,48,
Joshua Primary School Bungokho,Mbale,13,30,
Nabumali Boarding Pri.School,Mbale,56,117,
Highway Namanyonyi Sda Primary School,Mbale,11,47,
Highway Namanyonyi Sda Primary School,Mbale,11,47,
North Road Primary School,Mbale,52,211,
Covenant Primary School,Mbale,7,12,
Nakoleke Primary School,Mbale,1,79,
Mabale Primary School,Mbale,1,41,
Bumadanda Uppe Primary School,Mbale,1,41,
Light Mixed Primary School,Mbale,39,61,
Wambwa Primary School,Mbale,1,67,
Mbale Tower Primary School,Mbale,31,45,
Bufukhula Primary School,Mbale,2,79,
Nabuyonga Primary School,Mbale,68,96,
Bumbobi Primary School,Mbale,2,125,
Namatsale Primary School,Mbale,1,39,
Rwembirizi Primary School,Mbarara,1,36,
Kigaaga Primary School,Mbarara,1,36,
Kashaka Mixed School,Mbarara,1,35,
Kagongi Primary School,Mbarara,1,34,
Rwenjeru Primary School,Mbarara,1,30,
Kashenyi Primary School,Mbarara,1,30,
Kyenshama Primary School,Mbarara,1,27,
Rugarura Primary School,Mbarara,1,27,
Kinyaza Primary School,Mbarara,1,32,
Itara Primary School,Mbarara,2,50,
Mamita Standard Primary School,Mbarara,2,18,
Rwamiyonga Primary School,Mbarara,1,25,
Kibaya Mixed Primary School ,Mbarara,2,18,
Kagaaga Primary Scholl,Mbarara,1,31,
Kaihiro Primary School,Mbarara,1,24,
Karamurani R/C Primary School,Mbarara,3,26,
Rutooma Integrated P/S,Mbarara,1,23,
Kanyan Tura Primary School,Mbarara,2,17,
Akashanda Primary School,Mbarara,1,23,
Ndeija Primary School,Mbarara,1,23,
Shalom Keben Primary School,Mbarara,4,34,
Shalom Keben Primary School,Mbarara,4,34,
Bugaria Primary School,Mbarara,3,25,
Rwentaga Primary School,Mbarara,4,33,
Kabarama Primary School,Mbarara,4,33,
Rwamukondo Primary School,Mbarara,6,131,
Katukuru Mixed School,Mbarara,1,22,
Nyakaguruka Primary School,Mbarara,2,43,
Rwentojo Primary School,Mbarara,5,40,
Kyakataara Primary School,Mbarara,2,34,
Kitoongore Primary School,Mbarara,1,17,
St.Mary's Rweibaare Primary School,Mbarara,2,34,
Rubaya Primary School,Mbarara,1,17,
Kahunga Primary School,Mbarara,1,17,
Rugazi Church Primary School,Mbarara,1,17,
Nyampike Primary School,Mbarara,2,154,
Kibingo I Primary School,Mbarara,2,15,
Nyamityobora Primary School,Mbarara,7,52,
Nyakayojo I Primary School,Mbarara,8,58,
Nyamitanga Moslem School,Mbarara,5,36,
Kibaare Primary School,Mbarara,1,16,
Mbarara Madrasat Hamuza,Mbarara,2,41,
Kibuba Primary School,Mbarara,1,16,
Kyakanekye Primary School,Mbarara,1,16,
Okiri Primary School,Mbarara,1,16,
Rweishamiro Primary School,Mbarara,1,20,
Rwentamu Primary School,Mbarara,2,31,
Rubagano Primary School,Mbarara,2,31,
St.Lawrence Primary School,Mbarara,1,20,
Akashabo Primary School,Mbarara,1,20,
Nchene Primary School3,Mbarara,3,58,
Nyarubung Primary School,Mbarara,3,57,
Kichamba 1 Primary School,Mbarara,1,19,
Mirama li Primary School,Mbarara,3,33,
Tukore  Invalid's Primary School,Mbarara,1,19,
Rwobuyenje Primary School,Mbarara,1,15,
Kikunda Primary School,Mbarara,2,30,
Kikonkoma Primary School,Mbarara,1,15,
Nombe Primary School,Mbarara,2,29,
Rweshe Primary School,Mbarara,1,18,
Mirongo Primary School,Mbarara,1,18,
Nyakatungunda Primary School,Mbarara,1,18,
Nyakabaare Primary School ,Mbarara,4,42,
Madrasat Umar Kasenyi,Mbarara,3,31,
Bwengure Primary School,Mbarara,3,31,
Rwenshe Pentecostal Primary School,Mbarara,3,43,
Bunenero Primary School,Mbarara,4,41,
Karuyenge Primary School,Mbarara,6,42,
Muko Primary School,Mbarara,5,50,
Rwakishakizi Primary School,Mbarara,6,41,
Kaguhanzya Primary School,Mbarara,5,34,
Calvary Junior School,Mbarara,13,88,
Omukabaare Primary School,Mbarara,4,40,
Esteri Kokundeka Mem. School,Mbarara,2,20,
Rwamanuma Primary School,Mbarara,2,27,
Kabutare Primary School,Mbarara,2,20,
Kakoba Moslim Primary School,Mbarara,6,80,
Mbarara Parents School,Mbarara,15,99,
Rubindi Girls Primary School,Mbarara,7,46,
Karuhitsi Primary School,Mbarara,5,49,
Nsiika Primary School,Mbarara,4,39,
Ruti Moslem Primary School,Mbarara,3,38,
Bushwere Primary School,Mbarara,2,25,
Adullam Primary School,Mbarara,2,19,
Mwizi Primary School,Mbarara,4,49,
Kongoro Primary School,Mbarara,4,37,
Buntara C/U Primary School,Mbarara,2,24,
Nyeihanga Primary School,Mbarara,5,31,
Ruharo Musilm Primary School,Mbarara,3,35,
Kitengure Primary School,Mbarara,2,23,
Nyaminyobwa Primary School,Mbarara,2,23,
Kakigaani Primary School,Mbarara,4,24,
Rukanja Primary School,Mbarara,7,41,
Kateerero Primary School,Mbarara,5,29,
Mikamba Primary School,Mbarara,7,40,
Rukandagye Primary School,Mbarara,1,55,
Kyarushanje Primary School,Mbarara,12,68,
Murago Primary Schoool,Mbarara,3,17,
Madrast Noorul Nyamitanga,Mbarara,16,56,
Ihunga Primary School,Mbarara,8,28,
Bright Primary School,Mbarara,5,17,
Rwebishuri Primary School,Mbarara,33,112,
Kaiho Mixed Primary School,Mbarara,15,84,
Kyamugorani Mixed Primary School,Mbarara,8,27,
Bujaga Intergrated Primary School,Mbarara,28,94,
Bugamba Boys Primary School,Mbarara,14,45,
Mbarara Army School,Mbarara,2,101,
St Lawrence Primary School,Mbarara,5,27,
Ngaara Primary School,Mbarara,8,23,
Mbarara United Pentecoastal,Mbarara,13,69,
Karama Primary School,Mbarara,9,25,
Rwemiyenje Primary School,Mbarara,14,74,
Kitookye Primary School,Mbarara,11,58,
Buyengi Boys Primary School,Mbarara,5,26,
Nkokonjeru Primary School,Mbarara,12,32,
Rushanje Primary School,Mbarara,7,18,
Bwizibwera Town School,Mbarara,34,87,
Kinoni Intergrated Primary School,Mbarara,24,61,
Nyantungu Primary School,Mbarara,11,27,
Biharwa Mixed Primary School,Mbarara,16,39,
Runengo Primary School,Mbarara,5,25,
Kacwamba Primary School,Mbarara,13,31,
Uganda Martyrs Pri Sch,Mbarara,88,209,
Rubaare Primary School,Mbarara,3,15,
Nyakabwera Primary School,Mbarara,10,49,
St.Boniface Bwenkoma P/S,Mbarara,10,49,
Kafunjo Primary School,Mbarara,8,39,
St Mary School Katete,Mbarara,12,58,
Star Junior School,Katukuru,Mbarara,18,30.5666
Mbarara Mixed School,Mbarara,20,45,
Ngugo Primary School,Mbarara,7,33,
Boma Primary School,Mbarara,21,45,
Mbarara Sda Primary School,Mbarara,21,45,
Mugarutsya Primary School,Mbarara,29,62,
Kangurirwe Primary School,Mbarara,6,28,
St.Anita Memorial P/S,Mbarara,9,19,
Elizabeth Academy P/s,Mbarara,12,25,
Bishop Staurt Demn.School,Mbarara,13,59,
Kishasha Primary School,Mbarara,12,53,
JB Katatumba M A School,Mbarara,10,20,
Mbarara Modern Primary School,Mbarara,44,88,
Lege Junior School,Mbarara,5,22,
Kitunguru Primary School,Mbarara,1,44,
Gesa Integrated Primary School,Mbarara,10,19,
St.Aloysius Primary School,Mbarara,66,119,
Rubindi Boys Primary School,Mbarara,39,69,
4 Stars Junior School,Mbarara,21,37,
St Hellens Primary School,Mbarara,48,83,
Rwenyaga Primary School,Mbarara,13,50,
Katenga Primary School,Mbarara,24,92,
Rutooma Moder Primary School,Mbarara,5,19,
Rutooma Moder Primary School,Mbarara,5,19,
Happitots Infants Primary School,Mbarara,15,25,
St.Agnes Centre For Education,Mbarara,15,25,
International Window School,Mbarara,20,33,
Jay Bee Interternational Sch,Mbarara,25,40,
Kibaare Primary School,Mbarara,15,23,
Mbarara Central Primary School,Mbarara,15,22,
Katoja Biharwe Primary School,Mbarara,48,70,
Kabateraine Memorial School,Mbarara,27,39,
Centenery Standard P/S,Mbarara,34,48,
Rubindi Parents Primary School,Mbarara,57,80,
Wagga Wagga Primary School,Mbarara,15,20,
Rugazi Progressive Pri.School,Mbarara,15,20,
Mbarara Junior School,Mbarara,124,162,
Mbarara Preparatrix Primary School,Mbarara,20,25,
Katabarwa Mem.Day & Brd,Mbarara,65,81,
Mbarara icipal C School,Mbarara,293,364,
Allied Primary School Buteraniro,Mbarara,38,45,
Lypa Intergrated Primary School Rubindi,Mbarara,72,82,
Rubindi Preparatory School,Mbarara,30,34,
Rwebiihuro Primary School,Mbarara,1,37,
Mbarara Preparatory School,Mbarara,46,50,
Mandelajunior Primary School,Mbarara,23,24,
Ikimba Primary School,Mitooma,1,30,
Nyakahita Primary School,Mitooma,1,30,
Kyamushongora P/S,Mitooma,1,30,
Kibisho Primary School,Mitooma,1,32,
Rwemigango P/S,Mitooma,1,28,
Nyaruzinga Primary School,Mitooma,1,25,
Nyaruzinga Primary School,Mitooma,1,25,
Rwanyayoyi P/S,Mitooma,3,26,
Rwempungu P/S,Mitooma,4,93,
Nyakiiga Primary School,Mitooma,3,25,
Igambiro P/S,Mitooma,5,41,
Mushunga Primary School,Mitooma,1,22,
Bukaba P/S,Mitooma,3,65,
Kati Ps,Mitooma,3,46,
Rutaka Primary School,Mitooma,2,30,
Kirembe Primary School,Mitooma,2,22,
Kyankukwe Primary School,Mitooma,3,53,
Kareebo P/S,Mitooma,1,18,
Katerera P/S,Mitooma,4,41,
Buwanda Primary School,Mitooma,2,28,
Sazinga Primary School,Mitooma,9,60,
Kanyabwanga P/S,Mitooma,2,23,
Kamurisa P/S,Mitooma,6,36,
Kirambi P/S,Mitooma,9,30,
Rukararwa Primary School,Mitooma,7,39,
Mitooma Central School,Mitooma,17,55,
Ryakahiimbi Primary School,Mitooma,22,69,
Rutsiro Primary School,Mitooma,7,30,
Bubangizi P/S ,Mitooma,16,30,
Nkinga Primary School,Mitooma,23,43,
Bitooma P/S,Mitooma,12,49,
Iraramira Primary School,Mitooma,28,33,
Sadi Education Hill,Mityana,1,36,
Gema P/S,Mityana,2,69,
Kasiikombe Primary School,Mityana,1,30,
Nakaseta Parents Primary School,Mityana,2,68,
Buzibazzi Primary School,Mityana,3,82,
Kiyinda Muslim Primary School,Mityana,1,27,
Kibubula Primary School,Mityana,3,72,
Busuubizi St.Thereza P/S,Mityana,1,24,
Mbaliga Umea Primary School,Mityana,1,162,
Mityana Modern Primary School,Mityana,3,26,
Bukanaga P/S,Mityana,3,26,
Namigavu Pri.School,Mityana,1,89,
St.Kizito R/C Primary School,Mityana,1,83,
Busimbi Primay School,Mityana,2,34,
Kannyogoga Primary School,Mityana,3,63,
St.Peter Junior Primary School,Mityana,4,29,
Kabongezo Primary School,Mityana,6,96,
St.Martin Percoto Pri.School,Mityana,1,20,
Kyamusisi Primary School,Mityana,2,31,
Mityana Ophanage Pri.School,Mityana,1,19,
St.Mary's Fairway Pri.School,Mityana,1,19,
Roadside Herana Preparatory,Mityana,2,30,
Kiyinda Primary School,Mityana,6,65,
Lulagala Priamry School,Mityana,4,58,
Bbuye Islamic Primary School,Mityana,2,28,
Mityana Public School,Mityana,18,250,
Kabule R/C Ps,Mityana,6,83,
Gateway Primary School,Mityana,8,53,
Magonga C/U Primary School,Mityana,13,86,
Fremma Primary School,Mityana,4,39,
Kawolongojjo Primary School,Mityana,9,117,
Namutambe Demonstration Sch,Mityana,9,115,
King's Kid Primary School,Mityana,3,38,
Kitemu P/S,Mityana,10,96,
Nakaset Islamic Primary School,Mityana,7,66,
Maranatha Primary School,Mityana,9,57,
St.Mary's Kiganwa Primary School,Mityana,19,116,
Sseruyonyi Primary School,Mityana,1,54,
St.Padre Pio Primary School,Mityana,17,60,
Ddanya Broadening Sch.,Mityana,1,52,
Denis Centre,Mityana,6,20,
Mityana Wabigalo,Mityana,8,26,
Kiburara Primary School,Mityana,13,40,
Merryland Primary School,Mityana,12,33,
Mityana Parents School,Mityana,11,30,
Sharing Primary School,Mityana,7,17,
St.Denis Junior  School,Mityana,4,20,
Mase Junior Primary School,Mityana,3,15,
New Quality Primary School,Busunju,Mityana,23,
St.Joseph's Busunju P/S,Mityana,17,78,
St.Mary Zigoti Primary School,Mityana,4,17,
St.Maritius Primary School,Mityana,8,34,
St.Anny'sJunior Day & Bdg,Mityana,17,70,
MUlumba Bdg.School,Mityana,48,86,
Bujubi Primary School,Mityana,1,42,
Kabaseke Primary School,Mityana,1,42,
Bufuuma Primary School,Mityana,1,66,
Kiteete Umea Primary School,Mityana,1,40,
Kiryokya P.7 School,Mityana,1,64,
Katumbe Primary School,Mityana,19,24,
St.Kizito Learning Center,Mityana,68,85,
Royal Primary Schoo,Bbunga,Mityana,73,
Kyankowe Boarding Pri. School,Mityana,2,75,
Moroto Town Council Primary School,Moroto,3,95,
Erepi Demonstration School,Moyo,1,35,
Noor Primary School,Moyo,1,30,
Idrimari Primary School,Moyo,1,33,
Moyo Girls Primary School,Moyo,1,28,
Toloro P7 School,Moyo,1,32,
St.John Dufile Primary School,Moyo,1,31,
Besia Primary School,Moyo,1,23,
Moyo Boys Primary School,Moyo,6,49,
Erimi.P7 School,Moyo,2,32,
Fr.Bilbao Mem.Primary School,Moyo,3,47,
Moyo Town Council Ps,Moyo,7,82,
Obongi P.7 School,Moyo,1,47,
